Index,PackId,PackSize,StickerCount,ChapterId,BoardScale,Series,AutoUpdate
1,1,1,8,1,1.3,,0
2,2,2,25,1,0.78,15,1
3,3,3,32,1,1,18,0
4,4,3,31,1,1.1,,1
5,5,1,19,1,0.75,,1
6,6,2,29,1,0.78,,1
7,7,3,35,1,1.1,,1
8,8,3,33,1,1.1,,1
9,9,3,36,1,1,,0
10,10,2,25,1,0.78,,1
11,11,3,33,1,1.1,,1
12,12,3,31,1,0.8,,0
13,13,3,38,1,0.95,,0
14,14,2,30,1,0.78,,1
15,15,3,34,1,1.1,,1
16,16,2,25,1,0.78,,1
17,17,3,38,1,1.1,,1
18,18,7,196,1,0.7,,0
19,19,2,29,2,0.78,,1
20,20,2,24,2,0.78,,1
21,21,2,27,2,0.78,,1
22,22,3,34,2,1.1,,1
