"SourceOrder","Category","NameEn","NameZh","DescriptionEn","DescriptionZh","Metric","Target","SourceId","SourceUrl","IconUrl"
"1","Streak","14-Day Runner","14日坚持者","Complete at least 1 pack each day for 14 consecutive days. (Daily Challenges excluded)","连续14天每天至少完成1个卡包（每日挑战不计入）。","ConsecutivePackDays","14","304404","https://www.exophase.com/achievement/puffies-apple/304404-14-day-runner","https://m.exophase.com/apple/awards/s/gj557bb6.png"
"2","Streak","21-Day Runner","21日坚持者","Complete at least 1 pack each day for 21 consecutive days. (Daily Challenges excluded)","连续21天每天至少完成1个卡包（每日挑战不计入）。","ConsecutivePackDays","21","304405","https://www.exophase.com/achievement/puffies-apple/304405-21-day-runner","https://m.exophase.com/apple/awards/s/dgbb8776.png"
"3","Streak","30-Day Runner","30日坚持者","Complete at least 1 pack each day for 30 consecutive days. (Daily Challenges excluded)","连续30天每天至少完成1个卡包（每日挑战不计入）。","ConsecutivePackDays","30","304406","https://www.exophase.com/achievement/puffies-apple/304406-30-day-runner","https://m.exophase.com/apple/awards/s/j0ee177g.png"
"4","Streak","3-Day Runner","3日坚持者","Complete at least 1 pack each day for 3 consecutive days. (Daily Challenges excluded)","连续3天每天至少完成1个卡包（每日挑战不计入）。","ConsecutivePackDays","3","304401","https://www.exophase.com/achievement/puffies-apple/304401-3-day-runner","https://m.exophase.com/apple/awards/s/40bb6774.png"
"5","Streak","5-Day Runner","5日坚持者","Complete at least 1 pack each day for 5 consecutive days. (Daily Challenges excluded)","连续5天每天至少完成1个卡包（每日挑战不计入）。","ConsecutivePackDays","5","304402","https://www.exophase.com/achievement/puffies-apple/304402-5-day-runner","https://m.exophase.com/apple/awards/s/6d33g44e.png"
"6","Streak","7-Day Runner","7日坚持者","Complete at least 1 pack each day for 7 consecutive days. (Daily Challenges excluded)","连续7天每天至少完成1个卡包（每日挑战不计入）。","ConsecutivePackDays","7","304403","https://www.exophase.com/achievement/puffies-apple/304403-7-day-runner","https://m.exophase.com/apple/awards/s/b8443dd0.png"
"7","Collaboration","Bluey x puffies.","Bluey x puffies.","Let's play! Unlock and complete all Bluey Packs.","开始游戏！解锁并完成全部Bluey卡包。","BlueyCollectionCompleted","1","419541","https://www.exophase.com/achievement/puffies-apple/419541-bluey-x-puffies","https://m.exophase.com/apple/awards/s/7765ddjj.png"
"8","PackSize","Miniature Collector","迷你收藏家","Complete 10 XS Packs.","完成10个XS卡包。","CompletedPacksXS","10","304388","https://www.exophase.com/achievement/puffies-apple/304388-miniature-collector","https://m.exophase.com/apple/awards/s/55ggb0j6.png"
"9","PackSize","Small-Scale Specialist","小型卡包专家","Complete 40 S Packs.","完成40个S卡包。","CompletedPacksS","40","304389","https://www.exophase.com/achievement/puffies-apple/304389-small-scale-specialist","https://m.exophase.com/apple/awards/s/00jj14e6.png"
"10","PackSize","Midrange Maven","中型卡包达人","Complete 40 M Packs.","完成40个M卡包。","CompletedPacksM","40","304390","https://www.exophase.com/achievement/puffies-apple/304390-midrange-maven","https://m.exophase.com/apple/awards/s/8j004d7g.png"
"11","PackSize","Large Packs Legend","大型卡包传奇","Complete 20 L Packs.","完成20个L卡包。","CompletedPacksL","20","304391","https://www.exophase.com/achievement/puffies-apple/304391-large-packs-legend","https://m.exophase.com/apple/awards/s/eegg8057.png"
"12","PackSize","XL Packs Expert","XL卡包专家","Complete 10 XL Packs.","完成10个XL卡包。","CompletedPacksXL","10","304392","https://www.exophase.com/achievement/puffies-apple/304392-xl-packs-expert","https://m.exophase.com/apple/awards/s/40bb67dg.png"
"13","PackSize","2XL Packs Expert","2XL卡包专家","Complete 4 2XL Packs.","完成4个2XL卡包。","CompletedPacks2XL","4","304393","https://www.exophase.com/achievement/puffies-apple/304393-2xl-packs-expert","https://m.exophase.com/apple/awards/s/6d33g411.png"
